"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"

1,"1","2026-02-10T17:54:29.326633Z",1,10.278,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-10T17:54:29.326633Z"

2,"1","2026-02-10T17:54:45.215457Z",2,15.691,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-10T17:54:45.215457Z"

3,"1","2026-02-10T17:54:51.123156Z",3,5.687,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-10T17:54:51.123156Z"

4,"1","2026-02-10T17:54:55.322520Z",4,4.013,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-10T17:54:55.322520Z"

5,"1","2026-02-10T17:55:46.266792Z",5,50.732,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-10T17:55:46.266792Z"

6,"1","2026-02-10T17:55:50.705875Z",6,4.243,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-10T17:55:50.705875Z"

7,"1","2026-02-10T17:55:59.982419Z",7,9.096,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-10T17:55:59.982419Z"

8,"1","2026-02-10T17:56:02.898856Z",8,2.73,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-10T17:56:02.898856Z"

9,"1","2026-02-10T17:56:06.940241Z",9,3.861,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-10T17:56:06.940241Z"

10,"1","2026-02-10T17:56:10.239847Z",10,3.119,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-10T17:56:10.239847Z"

11,"1","2026-02-10T17:56:16.380481Z",11,5.973,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T17:56:16.380481Z"

12,"1","2026-02-10T17:56:19.830264Z",12,3.259,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-10T17:56:19.830264Z"

13,"1","2026-02-10T17:56:24.496514Z",13,4.503,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-10T17:56:24.496514Z"

14,"1","2026-02-10T17:56:27.804364Z",14,3.128,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-10T17:56:27.804364Z"

15,"1","2026-02-10T17:57:02.141822Z",15,34.178,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-10T17:57:02.141822Z"

16,"1","2026-02-10T17:57:08.474207Z",16,6.147,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-10T17:57:08.474207Z"

17,"1","2026-02-10T17:57:10.274039Z",17,1.619,"Total garbage. Zero stars if I could give it.","Negative","2026-02-10T17:57:10.274039Z"

18,"1","2026-02-10T17:57:40.683582Z",18,30.199,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-10T17:57:40.683582Z"

19,"1","2026-02-10T17:57:44.198156Z",19,3.352,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-10T17:57:44.198156Z"

20,"1","2026-02-10T17:57:47.478159Z",20,3.078,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-10T17:57:47.478159Z"

21,"1","2026-02-10T17:57:49.636540Z",21,1.974,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-10T17:57:49.636540Z"

22,"1","2026-02-10T17:57:54.689944Z",22,4.879,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-10T17:57:54.689944Z"

23,"1","2026-02-10T17:57:58.903311Z",23,4.035,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-10T17:57:58.903311Z"

24,"1","2026-02-10T17:58:02.923804Z",24,3.847,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-10T17:58:02.923804Z"

25,"1","2026-02-10T17:58:06.984133Z",25,3.879,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-10T17:58:06.984133Z"

26,"1","2026-02-10T17:58:09.067299Z",26,1.906,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-10T17:58:09.067299Z"

27,"1","2026-02-10T17:58:15.464620Z",27,6.218,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-10T17:58:15.464620Z"

28,"1","2026-02-10T17:58:20.232552Z",28,4.605,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-10T17:58:20.232552Z"

29,"1","2026-02-10T17:58:22.240949Z",29,1.808,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-10T17:58:22.240949Z"

30,"1","2026-02-10T17:58:25.815378Z",30,3.405,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-10T17:58:25.815378Z"

31,"1","2026-02-10T17:58:33.384505Z",31,7.402,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-10T17:58:33.384505Z"

32,"1","2026-02-10T17:58:37.307723Z",32,3.727,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-10T17:58:37.307723Z"

33,"1","2026-02-10T17:58:40.872010Z",33,3.377,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-10T17:58:40.872010Z"

34,"1","2026-02-10T17:58:43.362526Z",34,2.326,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-10T17:58:43.362526Z"

35,"1","2026-02-10T17:58:46.179555Z",35,2.622,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-10T17:58:46.179555Z"

36,"1","2026-02-10T17:58:55.853224Z",36,9.506,"The acting is fine, but the story arc is a bit formulaic. It was a decent way to kill an afternoon.","Neutral","2026-02-10T17:58:55.853224Z"

37,"1","2026-02-10T17:58:58.095103Z",37,2.08,"It perfectly balances humor and drama. This movie is a triumph in every sense.","Positive","2026-02-10T17:58:58.095103Z"

38,"1","2026-02-10T17:58:59.844756Z",38,1.583,"A frustrating experience. Avoid this at all costs.","Negative","2026-02-10T17:58:59.844756Z"

39,"1","2026-02-10T17:59:05.627479Z",39,5.602,"A strange experience overall. While the editing shines, the rest is uninspired. It’s definitely not for everyone.","Neutral","2026-02-10T17:59:05.627479Z"

40,"1","2026-02-10T17:59:08.168417Z",40,2.361,"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.","Positive","2026-02-10T17:59:08.168417Z"

41,"1","2026-02-10T17:59:11.968327Z",41,3.611,"Visually it's fine, but the editing is just adequate. It was a decent way to kill an afternoon.","Neutral","2026-02-10T17:59:11.968327Z"

42,"1","2026-02-10T17:59:18.741473Z",42,6.578,"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.","Positive","2026-02-10T17:59:18.741473Z"

43,"1","2026-02-10T17:59:21.491759Z",43,2.562,"The CGI was okay, but forgettable. I walked in with low expectations and they were met.","Neutral","2026-02-10T17:59:21.491759Z"

44,"1","2026-02-10T17:59:30.749394Z",44,9.088,"Great concept, but the execution was clichéd. Ideally, this should have been great, but something was off.","Positive","2026-02-10T17:59:30.749394Z"

45,"1","2026-02-10T17:59:40.456422Z",45,9.511,"I am confused about how I feel. A polarizing experience for sure.","Neutral","2026-02-10T17:59:40.456422Z"

46,"1","2026-02-10T17:59:43.081208Z",46,2.43,"I tried to like it, I really did, but it failed. The cinematography distracted me from everything else. A complete misfire.","Negative","2026-02-10T17:59:43.081208Z"

47,"1","2026-02-10T17:59:50.180286Z",47,6.913,"It was... fine. It has some good moments, especially the costume design. It’s okay if you have nothing else to do.","Neutral","2026-02-10T17:59:50.180286Z"

48,"1","2026-02-10T17:59:52.255250Z",48,1.894,"This movie is a triumph in every sense. The visual effects were refreshing and added so much depth. A definitive 10/10.","Positive","2026-02-10T17:59:52.255250Z"

49,"1","2026-02-10T17:59:57.477374Z",49,5.049,"It felt like a rough draft that was never edited. I struggled to sit through the first half.","Negative","2026-02-10T17:59:57.477374Z"

50,"1","2026-02-10T18:00:01.015000Z",50,3.35,"Great concept, but the execution was jarring. I oscillated between loving and hating this film.","Neutral","2026-02-10T18:00:01.015000Z"

51,"1","2026-02-10T18:00:04.886988Z",51,3.698,"An absolute joy to watch from start to finish. Two thumbs way up.","Positive","2026-02-10T18:00:04.886988Z"

52,"1","2026-02-10T18:00:08.217268Z",52,3.139,"I'm honestly still trying to process what I just saw. The first half was heartwarming, but the ending was unbearable. Your mileage may vary significantly.","Neutral","2026-02-10T18:00:08.217268Z"

53,"1","2026-02-10T18:00:11.954457Z",53,3.536,"I tried to like it, I really did, but it failed. I couldn't get past the nonsensical soundtrack. I walked out halfway through.","Negative","2026-02-10T18:00:11.954457Z"

54,"1","2026-02-10T18:00:15.426808Z",54,3.306,"Ideally, this should have been great, but something was off. It’s definitely not for everyone.","Neutral","2026-02-10T18:00:15.426808Z"

55,"1","2026-02-10T18:00:17.468849Z",55,1.867,"Finally, a movie that respects the audience. Two thumbs way up.","Positive","2026-02-10T18:00:17.468849Z"

56,"1","2026-02-10T18:00:24.852946Z",56,7.199,"I oscillated between loving and hating this film. It’s definitely not for everyone.","Neutral","2026-02-10T18:00:24.852946Z"

57,"1","2026-02-10T18:00:27.159539Z",57,2.1,"I was completely blown away by this film. Don't miss this one.","Positive","2026-02-10T18:00:27.159539Z"

58,"1","2026-02-10T18:00:29.458420Z",58,2.119,"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.","Positive","2026-02-10T18:00:29.458420Z"

59,"1","2026-02-10T18:00:30.867374Z",59,1.239,"Total garbage. A complete misfire.","Negative","2026-02-10T18:00:30.867374Z"

60,"1","2026-02-10T18:00:34.346975Z",60,3.3,"An absolute train wreck of a movie. I couldn't get past the tedious score. Zero stars if I could give it.","Negative","2026-02-10T18:00:34.346975Z"

61,"1","2026-02-10T18:00:38.958174Z",61,4.444,"Standard fare for this type of movie. Wait for it to come out on streaming.","Neutral","2026-02-10T18:00:38.958174Z"

62,"1","2026-02-10T18:00:41.707968Z",62,2.557,"I have never been so bored in my life. Do not bother.","Negative","2026-02-10T18:00:41.707968Z"

63,"1","2026-02-10T18:00:44.270179Z",63,2.399,"The acting was touching, yet the dialogue felt nonsensical. I oscillated between loving and hating this film.","Neutral","2026-02-10T18:00:44.270179Z"

64,"1","2026-02-10T18:00:47.748634Z",64,3.304,"It doesn't leave a lasting impression. It serves its purpose as popcorn filler.","Neutral","2026-02-10T18:00:47.748634Z"

65,"1","2026-02-10T18:00:49.995533Z",65,2.079,"It serves its purpose as popcorn filler. If you're bored, give it a shot.","Neutral","2026-02-10T18:00:49.995533Z"

66,"1","2026-02-10T18:00:52.564071Z",66,2.388,"Standard fare for this type of movie. It doesn't leave a lasting impression. 6/10 at best.","Neutral","2026-02-10T18:00:52.564071Z"

67,"1","2026-02-10T18:01:14.112306Z",67,21.348,"I walked in with low expectations and they were met. While the story arc was good, the rest felt so-so. Acceptable, but forgettable.","Neutral","2026-02-10T18:01:14.112306Z"

68,"1","2026-02-10T18:01:16.595250Z",68,2.305,"It was... fine. It follows the standard formula without taking risks. If you're bored, give it a shot.","Neutral","2026-02-10T18:01:16.595250Z"

69,"1","2026-02-10T18:01:20.536517Z",69,3.769,"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.","Positive","2026-02-10T18:01:20.536517Z"

70,"1","2026-02-10T18:01:22.286265Z",70,1.567,"The soundtrack was frankly disjointed. Total garbage.","Negative","2026-02-10T18:01:22.286265Z"

71,"1","2026-02-10T18:01:24.552813Z",71,2.094,"Great concept, but the execution was clichéd. I'm honestly still trying to process what I just saw.","Neutral","2026-02-10T18:01:24.552813Z"

72,"1","2026-02-10T18:01:26.767272Z",72,2.015,"The direction was frankly uninspired. I want my two hours back.","Negative","2026-02-10T18:01:26.767272Z"

73,"1","2026-02-10T18:01:31.953489Z",73,5.009,"It has some good moments, especially the direction. I have mixed feelings about this one.","Neutral","2026-02-10T18:01:31.953489Z"

74,"1","2026-02-10T18:01:34.260109Z",74,2.099,"It perfectly balances humor and drama. I was completely blown away by this film.","Positive","2026-02-10T18:01:34.260109Z"

75,"1","2026-02-10T18:01:40.551228Z",75,6.094,"I'm honestly still trying to process what I just saw. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T18:01:40.551228Z"

76,"1","2026-02-10T18:01:42.000618Z",76,1.263,"A cinematic masterpiece. The visual effects were superb and added so much depth. Do yourself a favor and go see this.","Positive","2026-02-10T18:01:42.000618Z"

77,"1","2026-02-10T18:01:47.524978Z",77,5.335,"I didn't expect to enjoy this as much as I did. Highly recommended for everyone.","Positive","2026-02-10T18:01:47.524978Z"

78,"1","2026-02-10T18:01:51.124649Z",78,3.355,"Standard fare for this type of movie. Good for a one-time watch.","Neutral","2026-02-10T18:01:51.124649Z"

79,"1","2026-02-10T18:01:53.624122Z",79,2.324,"The plot holes were glaring and the direction was lifeless. What a complete waste of potential.","Negative","2026-02-10T18:01:53.624122Z"

80,"1","2026-02-10T18:01:57.298680Z",80,3.488,"A strange experience overall. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T18:01:57.298680Z"

81,"1","2026-02-10T18:01:59.240358Z",81,1.734,"A strange experience overall. A polarizing experience for sure.","Neutral","2026-02-10T18:01:59.240358Z"

82,"1","2026-02-10T18:02:04.081346Z",82,4.616,"I am confused about how I feel. It tries to be deep, but comes off as clichéd despite the refreshing music. I think I need to watch it again to decide.","Neutral","2026-02-10T18:02:04.081346Z"

83,"1","2026-02-10T18:02:06.605860Z",83,2.354,"I have mixed feelings about this one. 6/10 at best.","Neutral","2026-02-10T18:02:06.605860Z"

84,"1","2026-02-10T18:02:08.389413Z",84,1.613,"I struggled to sit through the first half. A complete misfire.","Negative","2026-02-10T18:02:08.389413Z"

85,"1","2026-02-10T18:02:16.029962Z",85,7.468,"An absolute joy to watch from start to finish. Highly recommended for everyone.","Positive","2026-02-10T18:02:16.029962Z"

86,"1","2026-02-10T18:02:18.029582Z",86,1.807,"A frustrating experience. Zero stars if I could give it.","Negative","2026-02-10T18:02:18.029582Z"

87,"1","2026-02-10T18:02:22.520762Z",87,4.293,"An absolute train wreck of a movie. Nothing about the opening scene worked. I wouldn't recommend this to my worst enemy.","Negative","2026-02-10T18:02:22.520762Z"

88,"1","2026-02-10T18:02:32.228041Z",88,9.501,"It was... fine. It has some good moments, especially the character development. It is what it is.","Neutral","2026-02-10T18:02:32.228041Z"

89,"1","2026-02-10T18:02:34.385852Z",89,1.948,"An absolute train wreck of a movie. The dialogue distracted me from everything else. Zero stars if I could give it.","Negative","2026-02-10T18:02:34.385852Z"

90,"1","2026-02-10T18:02:36.508546Z",90,1.92,"This movie is a triumph in every sense. The lead actor delivered a memorable performance. Don't miss this one.","Positive","2026-02-10T18:02:36.508546Z"

91,"1","2026-02-10T18:03:10.240219Z",91,33.532,"The screenplay was okay, but forgettable. It was... fine.","Neutral","2026-02-10T18:03:10.240219Z"

92,"1","2026-02-10T18:03:13.114667Z",92,2.678,"A cinematic masterpiece. The lead actor delivered a gripping performance. I will be thinking about this for days.","Positive","2026-02-10T18:03:13.114667Z"

93,"1","2026-02-10T18:03:21.497326Z",93,8.193,"I was hooked from the very first minute. It managed to be vibrant without trying too hard. I can't wait to see it again.","Positive","2026-02-10T18:03:21.497326Z"

94,"1","2026-02-10T18:03:23.746879Z",94,2.072,"It doesn't leave a lasting impression. Middle of the road entertainment.","Neutral","2026-02-10T18:03:23.746879Z"

95,"1","2026-02-10T18:03:28.856668Z",95,4.909,"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as jarring despite the iconic music. It’s definitely not for everyone.","Neutral","2026-02-10T18:03:28.856668Z"

96,"1","2026-02-10T18:03:34.404328Z",96,5.371,"While the lighting shines, the rest is convoluted. I am confused about how I feel.","Neutral","2026-02-10T18:03:34.404328Z"

97,"1","2026-02-10T18:03:36.912363Z",97,2.352,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is tedious. A polarizing experience for sure.","Neutral","2026-02-10T18:03:36.912363Z"

98,"1","2026-02-10T18:03:43.458744Z",98,6.353,"The acting is fine, but the costume design is a bit middle-of-the-road. It’s not a masterpiece, but it’s not a disaster either.","Neutral","2026-02-10T18:03:43.458744Z"

99,"1","2026-02-10T18:03:46.019284Z",99,2.403,"It’s a weird mix of brilliance and stupidity. While the screenplay shines, the rest is forgetable. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-10T18:03:46.019284Z"

100,"1","2026-02-10T18:03:48.077905Z",100,1.866,"I was hooked from the very first minute. I can't wait to see it again.","Positive","2026-02-10T18:03:48.077905Z"

